penalty_x,budget_x,total_shortage,total_nurses
0.5,0.7,19711.00533452837,16079.539882151259
0.5,1.0,177.66666699805924,21150.399999531208
0.5,1.3,177.66666699805924,21150.399999531208
1.0,0.7,19710.99489899962,16079.543340328877
1.0,1.0,177.66666666666663,21150.40000166191
1.0,1.3,177.66666666666663,21150.40000166191
2.0,0.7,19710.979208766217,16079.545327901445
2.0,1.0,177.66666666666669,21150.400000164595
2.0,1.3,177.66666666666669,21150.400000164595
4.0,0.7,19711.02831270141,16079.538791705996
4.0,1.0,177.66666675617734,21150.399999872614
4.0,1.3,177.66666675617734,21150.399999872614
